Var1,Var2,Factor
0.4967141530112327,-0.047449509,A
-0.138264301,-0.322132893,A
0.6476885381006925,1.476520086131496,A
1.5230298564080254,3.1502999787821593,A
-0.234153375,-1.551526469,A
-0.234136957,-0.685706671,A
1.5792128155073915,1.8938739121001311,A
0.7674347291529088,0.4978228611556512,A
-0.469474386,1.0612426613786687,A
0.5425600435859647,1.2188217763399025,A
-0.463417693,-1.956010494,A
-0.465729754,0.2192673166993908,A
0.24196227156603412,2.485099604361684,A
-1.913280245,-1.837455106,A
-1.724917833,-4.106746715,A
-0.562287529,-1.327665367,A
-1.01283112,-0.252335531,A
0.3142473325952739,-0.236298467,A
-0.908024076,-0.918216685,A
-1.412303701,-1.343821499,A
1.465648768921554,1.2715426818042483,A
-0.2257763,-0.398189807,A
0.067528205,-3.139975033,A
-1.424748186,-3.161509921,A
-0.544382725,-1.069142238,A
0.11092258970986608,-1.081399297,A
-1.150993577,-0.094079062,A
0.37569801834567196,-0.86659435,A
-0.60063869,-1.341002522,A
-0.29169375,-0.306800047,A
-0.601706612,0.5387133707220202,A
1.8522781845089378,1.3425551255839672,A
-0.013497225,1.1429179150480586,A
-1.057710929,-1.576333332,A
0.822544912,0.25230871710683256,A
-1.22084365,-1.369162001,A
0.2088635950047554,0.5123550880806031,A
-1.959670124,-3.539722063,A
-1.328186049,-1.922476988,A
0.19686123586912352,-0.090021743,A
0.7384665799954104,1.2212172152443637,A
0.1713682811899705,0.9191830963060024,A
-0.115648282,1.4125443925629912,A
-0.301103696,-1.689471042,A
-1.47852199,-0.084749611,A
-0.719844208,-3.031854112,A
-0.460638771,-0.842743251,A
1.0571222262189157,2.174000546,A
0.3436182895684614,0.7964193020877248,A
-1.763040155,-3.267259753,A
0.324083969,0.2780037037349173,A
-0.38508228,-1.070624355,A
-0.676922,-1.604747757,A
0.6116762888408679,1.7671165302823266,A
1.030999522495951,1.9035147697089738,A
0.9312801191161986,0.7040105834136435,A
-0.839217523,-0.359226409,A
-0.309212376,-0.156519043,A
0.33126343140356396,1.309757265944306,A
0.9755451271223592,2.092946532607151,A
-0.479174238,-1.547756368,A
-0.185658977,-0.838669505,A
-1.106334974,-0.912208856,A
-1.196206624,-1.183939671,A
0.812525822,1.1978871396271489,A
1.356240028570823,2.1516874261650165,A
-0.072010122,1.1696497134179242,A
1.0035328978920242,0.9137279580022063,A
0.36163602504763415,1.0895514187414892,A
-0.645119755,-1.169872284,A
0.36139560550841393,0.3244122050354006,A
1.5380365664659692,3.405831701686144,A
-0.035826039,0.7716772903231025,A
1.5646436558140062,3.160475119721648,A
-2.619745104,-2.624138849,A
0.8219025043752238,1.2538575981955948,A
0.087047068,0.8125235736522207,A
-0.29900735,-0.758777782,A
0.091760777,0.46180751729169556,A
-1.987568915,-3.111496426,A
-0.219671888,-0.232511867,A
0.3571125715117464,1.1308258827045332,A
1.477894044741516,1.3986203838788014,A
-0.518270218,1.3149819482749892,A
-0.808493603,-2.218757786,A
